date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-29 16:00:02,GoldmanSachs,,0,1,8,"From market impacts to rethinking how we work during a pandemic, explore our research and insights relating to #COVID19: https://click.gs.com/t3zg",,,#COVID19,1266398908361650177,https://twitter.com/GoldmanSachs/status/1266398908361650177
2020-05-29 14:00:24,GoldmanSachs,,0,2,14,"#ICYMI: How is the #tech industry in Europe evolving? Clif Marriott, co-head of $GS' Technology, Media and Telecom Group in EMEA, discusses the trends and activity he’s seeing: https://click.gs.com/6js5",,,#ICYMI #tech,1266368798367510533,https://twitter.com/GoldmanSachs/status/1266368798367510533
2020-05-29 13:00:18,GoldmanSachs,,0,0,8,"Margaret Anadu, head of $GS' Urban Investment Group, on the firm’s $500 million small business loan commitment: https://click.gs.com/k22r",,,,1266353673501900800,https://twitter.com/GoldmanSachs/status/1266353673501900800
2020-05-29 07:02:38,GoldmanSachs,,1,11,45,"PHOTO FROM JAPAN: As a #BlueImpulse flyover soared through the sky earlier today, colleagues in our Tokyo office took a moment to honor front line workers battling #COVID19. #ブルーインパルス #医療従事者にエールを",,,#BlueImpulse #COVID19,1266263667214921729,https://twitter.com/GoldmanSachs/status/1266263667214921729
2020-05-28 23:00:18,GoldmanSachs,,1,0,9,"“We’ve seen a significant uptick in momentum in the European technology space over the last five years.” $GS' Clif Marriott discusses the trends driving growth across Europe’s #tech industry in this episode of The Daily Check-In: https://click.gs.com/em5c",,,#tech,1266142281020694530,https://twitter.com/GoldmanSachs/status/1266142281020694530
2020-05-28 21:00:18,GoldmanSachs,,0,2,12,".@BTGroup CEO Philip Jansen discusses the future of global connectivity during a #TalksAtGS with $GS' President and COO John Waldron: https://click.gs.com/kmfg",,@BTGroup,#TalksAtGS,1266112081813803010,https://twitter.com/GoldmanSachs/status/1266112081813803010
2020-05-28 20:00:17,GoldmanSachs,,3,2,13,"“Our capital has reached very small businesses, just as we hoped it would.” - $GS' Margaret Anadu: https://click.gs.com/l7mz",,,,1266096977902788608,https://twitter.com/GoldmanSachs/status/1266096977902788608
2020-05-28 19:42:04,GoldmanSachs,,2,3,24,"$GS President and COO John Waldron joined @CNBC to discuss his thoughts on the current economic outlook amid #COVID19. Watch the full interview.",,@CNBC,#COVID19,1266092393016762369,https://twitter.com/GoldmanSachs/status/1266092393016762369
2020-05-28 19:16:08,GoldmanSachs,,1,3,15,"How is the #tech industry in Europe evolving? Clif Marriott, co-head of $GS' Technology, Media and Telecom Group in EMEA, discusses the trends and activity he’s seeing in this episode of The Daily Check-In: https://click.gs.com/txmr",,,#tech,1266085868646866947,https://twitter.com/GoldmanSachs/status/1266085868646866947
2020-05-28 18:30:01,GoldmanSachs,,0,1,6,"Through our #COVID19 Relief Fund, we’re proud to partner with best-in-class organizations to deliver critical services during this unprecedented time. Learn more about our recent collaboration with @uwsl:",,@uwsl,#COVID19,1266074261028065280,https://twitter.com/GoldmanSachs/status/1266074261028065280
2020-05-28 18:00:01,GoldmanSachs,,0,0,3,"Margaret Anadu, head of $GS' Urban Investment Group, on why “African American business owners have not had the same relief from the Paycheck Protection Program as other businesses.” https://click.gs.com/rg4e cc @Axios",,@axios,,1266066712706850820,https://twitter.com/GoldmanSachs/status/1266066712706850820
2020-05-28 17:00:17,GoldmanSachs,,3,0,2,"“My prediction is… the next thing for which it will be possible to pull together world support for global action on a global problem will be climate change.” - Pulitzer Prize-winning author of “Upheaval” Jared Diamond: https://click.gs.com/ldam #TalksAtGS",,,#TalksAtGS,1266051680258404354,https://twitter.com/GoldmanSachs/status/1266051680258404354
2020-05-28 15:30:09,GoldmanSachs,,1,11,29,"How are advances in nuclear energy technology making it a viable clean-tech solution? $GS Research’s Heath Terry explains in this episode of Exchanges at Goldman Sachs: https://click.gs.com/ujk7",,,,1266028996686422016,https://twitter.com/GoldmanSachs/status/1266028996686422016
2020-05-28 14:41:02,GoldmanSachs,,1,6,16,"#ICYMI: What technologies are poised for greater mainstream adoption as we work more from home? $GS Research’s Rod Hall explains: https://click.gs.com/lek5",,,#ICYMI,1266016636659814412,https://twitter.com/GoldmanSachs/status/1266016636659814412
2020-05-28 13:30:16,GoldmanSachs,,2,3,10,"""A World Without Work"" author @danielsusskind discusses how #technology is transforming the future of work in an episode of #TalksAtGS: https://click.gs.com/zjth",,@danielsusskind,#technology #TalksAtGS,1265998829050048512,https://twitter.com/GoldmanSachs/status/1265998829050048512
2020-05-27 23:30:17,GoldmanSachs,,2,3,16,"How is the transition to working from home affecting the hardware industry? $GS Research’s Rod Hall discusses insights from his team’s latest “Future of Work” report in this episode of The Daily Check-In: https://click.gs.com/zb22",,,,1265787440448581637,https://twitter.com/GoldmanSachs/status/1265787440448581637
2020-05-27 21:00:18,GoldmanSachs,,4,8,19,"“My hunch is that the breakdown in civility, including political compromise, in the U.S. in the last couple of decades has been because of our decline in face-to-face communication.” - Pulitzer Prize-winning author of “Upheaval” Jared Diamond: https://click.gs.com/kl6d #TalksAtGS",,,#TalksAtGS,1265749693847547905,https://twitter.com/GoldmanSachs/status/1265749693847547905
2020-05-27 19:59:22,GoldmanSachs,,3,1,16,"How is nuclear energy emerging as a sustainable clean energy solution? $GS Research’s Heath Terry explains in this episode of Exchanges at Goldman Sachs: https://click.gs.com/urc9",,,,1265734359992217602,https://twitter.com/GoldmanSachs/status/1265734359992217602
2020-05-27 17:00:19,GoldmanSachs,,2,0,10,"“One choice is you try to become the sort of person who competes with these systems or machines.” - ""A World Without Work"" author @danielsusskind gives advice to the future of the workforce: https://click.gs.com/wzvw #TalksAtGS",,@danielsusskind,#TalksAtGS,1265689303260291075,https://twitter.com/GoldmanSachs/status/1265689303260291075
2020-05-27 16:00:01,GoldmanSachs,,1,1,6,"From market impacts to rethinking how we work during a pandemic, explore our research and insights relating to #COVID19: https://click.gs.com/vv3h",,,#COVID19,1265674127869870080,https://twitter.com/GoldmanSachs/status/1265674127869870080
2020-05-27 15:00:18,GoldmanSachs,,1,3,10,"How is $GS supporting small businesses during this challenging time? Margaret Anadu explains: https://click.gs.com/yewb",,,,1265659096335822848,https://twitter.com/GoldmanSachs/status/1265659096335822848
